userId,q1,q2,q3,q4,q5,q6,q7
705d6328-2d92-4bbd-ac65-ec127b8fb7c8,profile-family-myself,profile-property-neither,"profile-property-collegefund, profile-property-budgeting, profile-property-debtmanagement",,,,
42f495af-8aa5-4cd3-91ea-a656df1f73f9,"profile-family-myself, profile-family-spouse",profile-property-ownhome,"profile-property-investing, profile-property-budgeting",,,,
2195e67b-9157-4623-a18d-c19bdd4d803b,profile-family-agingparents,profile-property-rent,"profile-property-wanthome, profile-property-budgeting",,,,
c3bee3b5-49d2-4c6f-9aa8-5597c794f357,profile-family-spouse,profile-property-ownhome,"profile-property-wanthome, profile-property-lifeinsurance, profile-property-collegefund, profile-property-taxplanning",,,,
d840e813-fde8-49f5-a87d-99ffcab3eff4,"profile-family-myself, profile-family-agingparents, profile-family-spouse",profile-property-rent,"profile-property-investing, profile-property-wanthome, profile-property-healthcost, profile-property-taxplanning, profile-property-budgeting",,,,
c794fa5c-bb81-4f6c-b90a-c4acdbe65aab,"profile-family-myself, profile-family-agingparents, profile-family-spouse",profile-property-rent,"profile-property-investing, profile-property-wanthome, profile-property-taxplanning",,,,
66428951-d981-45e6-be25-62dd2daad892,"profile-family-myself, profile-family-spouse",profile-property-rent,"profile-property-investing, profile-property-wanthome, profile-property-budgeting, profile-property-taxplanning",,,,
ffc3e156-b841-43d5-ae60-276a5de89fd6,profile-family-myself,profile-property-rent,"profile-property-investing, profile-property-healthcost, profile-property-budgeting, profile-property-taxplanning",,,,
ec7c2ae7-8113-4ee5-9d1b-7db0f75b69c4,"profile-family-myself, profile-family-havekids, profile-family-spouse",profile-property-ownhome,"profile-property-investing, profile-property-estateplanning, profile-property-wanthome, profile-property-healthcost, profile-property-collegefund, profile-property-budgeting, profile-property-taxplanning",,,,
55fae845-1246-447b-8c59-83e7c82ebee6,"profile-family-myself, profile-family-havekids, profile-family-spouse",profile-property-rent,"profile-property-wanthome, profile-property-lifeinsurance, profile-property-healthcost, profile-property-collegefund",,,,
348168e1-e34d-4618-8268-1f5cfa3cd7ac,"profile-family-myself, profile-family-havekids, profile-family-spouse",profile-property-ownhome,"profile-property-investing, profile-property-healthcost, profile-property-taxplanning, profile-property-estateplanning, profile-property-budgeting",profile-home-insurance,"profile-beneficiaries, profile-will, profile-guardianship, profile-trust",profile-goal-progress-quarterly,profile-invest-intermediate
